sr_no,HostTimestamp,NodeTimestamp,X_mGa,Y_mGa,Z_mGa,X_mg,Y_mg,Z_mg,X_dps,Y (dps),Z_dps,move_type
29,2444197,317328.0,291.0,-256.0,-315.0,8.0,-1026.0,-8.0,5.1,4.4,-2.6,D
30,2444247,317334.0,300.0,-258.0,-310.0,56.0,-1001.0,-6.0,2.5,4.6,-2.7,D
31,2444278,317340.0,288.0,-258.0,-304.0,112.0,-947.0,16.0,1.8,2.7,-0.7,D
32,2444338,317346.0,294.0,-258.0,-316.0,93.0,-928.0,-13.0,3.3,-0.3,1.6,D
33,2444398,317353.0,285.0,-258.0,-321.0,138.0,-933.0,65.0,6.5,-3.2,7.1,D
34,2444428,317359.0,280.0,-256.0,-321.0,75.0,-947.0,34.0,13.3,-4.9,3.0,D
35,2444488,317365.0,276.0,-259.0,-333.0,60.0,-1054.0,120.0,12.3,-9.1,2.3,D
36,2444548,317371.0,273.0,-258.0,-331.0,24.0,-1043.0,56.0,5.3,-3.7,4.6,D
37,2444578,317378.0,273.0,-265.0,-333.0,82.0,-1010.0,67.0,9.2,-6.0,-2.2,D
38,2444638,317384.0,270.0,-253.0,-337.0,45.0,-1017.0,97.0,5.0,-5.6,2.0,D
39,2444698,317390.0,270.0,-259.0,-345.0,17.0,-1033.0,84.0,6.8,-2.8,-0.6,D
40,2444728,317396.0,258.0,-253.0,-346.0,66.0,-1016.0,135.0,5.7,-1.4,2.4,D
41,2444788,317403.0,261.0,-255.0,-351.0,73.0,-988.0,122.0,2.8,-4.6,1.1,D
42,2444848,317409.0,252.0,-250.0,-352.0,49.0,-998.0,111.0,0.2,-7.3,2.1,D
43,2444878,317415.0,261.0,-258.0,-355.0,28.0,-1002.0,125.0,-1.0,-6.5,2.2,D
44,2444938,317421.0,265.0,-250.0,-346.0,32.0,-995.0,124.0,-4.2,-4.7,2.3,D
45,2444998,317428.0,271.0,-261.0,-342.0,5.0,-991.0,61.0,-3.5,-5.8,-1.2,D
46,2445028,317434.0,265.0,-264.0,-348.0,26.0,-992.0,99.0,-3.2,-2.8,2.3,D
47,2445088,317440.0,268.0,-256.0,-357.0,-4.0,-1016.0,122.0,-14.8,-2.5,11.4,D
48,2445148,317446.0,273.0,-258.0,-345.0,81.0,-1015.0,138.0,-23.8,-5.1,9.3,D
49,2445178,317453.0,270.0,-259.0,-334.0,-16.0,-998.0,4.0,-25.5,-1.4,11.7,D
50,2445238,317459.0,277.0,-246.0,-336.0,-49.0,-1019.0,11.0,-16.1,3.1,13.3,D
51,2445298,317465.0,279.0,-249.0,-331.0,50.0,-1051.0,-175.0,-37.6,0.7,0.9,D
52,2445338,317471.0,282.0,-250.0,-322.0,9.0,-998.0,-47.0,-29.2,-1.0,1.1,D
53,2445387,317478.0,279.0,-241.0,-315.0,11.0,-1007.0,12.0,-7.0,2.1,-3.5,D
54,2445448,317484.0,283.0,-249.0,-322.0,32.0,-1020.0,42.0,0.4,9.5,4.3,D
55,2445478,317490.0,285.0,-241.0,-327.0,-38.0,-1037.0,-10.0,2.3,4.9,2.0,D
56,2445568,317496.0,286.0,-250.0,-322.0,-17.0,-1017.0,-9.0,-2.0,5.1,5.6,D
57,2445597,317503.0,286.0,-250.0,-322.0,0.0,-1011.0,31.0,-4.8,1.6,3.4,D
58,2445627,317509.0,274.0,-238.0,-325.0,10.0,-973.0,-15.0,-3.0,3.0,6.2,D
59,2445688,317515.0,280.0,-238.0,-319.0,-45.0,-1026.0,-2.0,0.6,1.0,4.9,D
1,394634,50286.0,-238.0,-483.0,-49.0,144.0,-280.0,944.0,5.2,11.2,4.3,D
2,394693,50292.0,-237.0,-469.0,-55.0,148.0,-279.0,956.0,5.3,11.8,3.5,D
3,394753,50298.0,-240.0,-475.0,-61.0,141.0,-274.0,969.0,6.7,10.7,3.2,D
4,394783,50305.0,-238.0,-474.0,-67.0,131.0,-270.0,976.0,6.2,9.3,3.4,D
5,394844,50311.0,-238.0,-468.0,-66.0,149.0,-262.0,1007.0,8.4,7.0,1.8,D
6,394904,50317.0,-235.0,-472.0,-66.0,140.0,-254.0,990.0,4.9,6.9,2.3,D
7,394932,50323.0,-235.0,-472.0,-66.0,124.0,-250.0,1000.0,3.4,6.2,3.1,D
8,394994,50330.0,-243.0,-469.0,-66.0,114.0,-247.0,972.0,3.5,7.8,1.8,D
9,395054,50336.0,-229.0,-469.0,-61.0,113.0,-237.0,967.0,6.8,2.8,2.0,D
10,395083,50342.0,-244.0,-466.0,-66.0,111.0,-234.0,994.0,6.5,5.1,1.7,D
11,395144,50348.0,-253.0,-462.0,-70.0,97.0,-239.0,973.0,1.6,8.6,3.1,D
12,395205,50355.0,-244.0,-462.0,-76.0,111.0,-233.0,1003.0,5.8,4.2,1.7,D
13,395331,50361.0,-244.0,-459.0,-76.0,110.0,-233.0,995.0,3.2,0.6,2.3,D
14,395352,50367.0,-244.0,-460.0,-67.0,94.0,-232.0,1014.0,0.7,4.2,2.3,D
